city,temp,lat,lng,humidity,cloudiness,wind_speed,country,date
Lethbridge,9.89,49.7,-112.8186,93,0,3.09,CA,1657879086
Palmerston,23.09,-12.486,130.9833,57,0,3.6,AU,1657879088
Champerico,24.5,14.3,-91.9167,86,86,2.61,GT,1657879090
Ordu,17.65,40.9086,37.6845,68,81,2.9,TR,1657879092
El Reno,24.42,35.5323,-97.955,69,0,5.66,US,1657879094
Lumeje,25.09,-11.55,20.7833,27,5,4.67,AO,1657879096
Nobeoka,25.32,32.5833,131.6667,92,100,1.84,JP,1657879098
Avera,22.18,33.194,-82.5271,94,100,1.22,US,1657879100
Nanyamba,30.44,-10.6833,39.8333,29,17,4.61,TZ,1657879102
Abu Samrah,36.06,35.3029,37.1841,21,0,6.83,SY,1657879105
Le Port,24.72,-20.9373,55.2919,58,43,2.14,RE,1657879107
Port Lincoln,14.31,-34.7333,135.8667,44,100,5.49,AU,1657879063
Husavik,11.02,66.0449,-17.3389,64,72,1.8,IS,1657879113
Barcelona,32.6,41.3888,2.159,47,0,4.12,ES,1657878520
Hervey Bay,17.33,-25.2986,152.8535,70,63,6.37,AU,1657879117
Casablanca,25.39,33.5928,-7.6192,69,4,2.06,MA,1657878503
Caravelas,21.03,-17.7125,-39.2481,75,3,2.11,BR,1657879113
Mount Isa,12.87,-20.7333,139.5,30,0,3.09,AU,1657879125
Serenje,20.34,-13.2325,30.2352,50,27,5.04,ZM,1657879129
Bereket,41.55,39.2446,55.5154,9,0,2.82,TM,1657879131
Guerrero Negro,18.53,27.9769,-114.0611,90,37,4.52,MX,1657879133
Ortigueira,12.81,-24.2083,-50.9494,74,63,1.45,BR,1657879101
Westport,18.86,41.1415,-73.3579,76,66,2.24,US,1657879137
Verkh-Usugli,19.36,52.7,115.1667,79,98,2.07,RU,1657879140
Vestmannaeyjar,10.55,63.4427,-20.2734,81,40,3.6,IS,1657879142
Rafaela,9.43,-31.2503,-61.4867,58,100,1.34,AR,1657879144
Peterhead,13.72,57.5058,-1.7981,82,96,4.37,GB,1657879146
Nhulunbuy,23.34,-12.2333,136.7667,60,79,6.17,AU,1657879148
Tortolì,30.64,39.9256,9.6572,42,0,3.23,IT,1657879150
Edd,35.52,13.9297,41.6925,51,83,6.49,ER,1657879152
Bria,25.33,6.5423,21.9863,76,100,1.06,CF,1657879154
Iqaluit,4.85,63.7506,-68.5145,87,40,2.06,CA,1657879086
Sigli,30.0,5.3848,95.9609,64,62,0.91,ID,1657879159
Troitskoye,17.36,52.9821,84.6757,59,99,2.93,RU,1657879161
Fengrun,32.16,39.8333,118.1167,45,49,2.94,CN,1657879163
Sirajganj,33.35,24.45,89.7167,64,69,4.66,BD,1657879165
Dalby,8.88,-27.1833,151.2667,59,0,2.94,AU,1657879167
Stalybridge,17.09,53.4841,-2.0591,75,97,1.79,GB,1657879169
Zonguldak,24.85,41.25,31.8333,41,0,3.11,TR,1657879118
Naze,28.51,28.3667,129.4833,85,99,4.58,JP,1657879173
Lensk,26.72,60.7253,114.9278,56,83,1.9,RU,1657879175
Tucumã,23.5,-0.1833,-50.05,94,27,2.3,BR,1657879177
Catherinas Lust,24.08,6.4,-57.6,93,100,3.07,GY,1657879180
Vardø,16.99,70.3705,31.1107,82,0,2.57,NO,1657879182
Rohnert Park,10.92,38.3396,-122.7011,81,100,0.0,US,1657879186
Natal,23.12,-5.795,-35.2094,88,40,4.12,BR,1657878493
Cayenne,24.49,4.9333,-52.3333,1,75,0.0,GF,1657879190
Tarko-Sale,19.67,64.9225,77.785,39,90,4.59,RU,1657879192
Landerneau,21.98,48.4525,-4.2525,57,0,4.63,FR,1657879194
Eskişehir,25.89,39.7767,30.5206,36,0,4.26,TR,1657879128
Pulivendla,32.32,14.4167,78.2333,43,81,11.72,IN,1657879198
Nakamura,24.7,32.9833,132.9333,93,100,1.84,JP,1657879201
Lancaster,16.65,40.2504,-76.2499,90,4,1.61,US,1657879204
Puerto Escondido,24.82,15.85,-97.0667,83,100,2.45,MX,1657879210
Kandi,30.56,11.1342,2.9386,56,59,4.05,BJ,1657878927
Los Llanos de Aridane,20.62,28.6585,-17.9182,87,20,7.2,ES,1657879219
Hasilpur,37.04,29.7122,72.5553,43,100,5.02,PK,1657879225
Saint Joseph,21.94,39.7686,-94.8466,94,75,2.06,US,1657879227
Sosnovka,23.13,56.255,51.2842,61,59,4.58,RU,1657879230
Hobyo,28.0,5.3505,48.5268,67,77,12.35,SO,1657879083
Gore,2.26,-46.1028,168.9436,97,99,1.92,NZ,1657879234
Gamba,25.04,-2.65,10.0,69,43,3.07,GA,1657879243
Padang,31.03,-0.9492,100.3543,77,98,2.1,ID,1657879247
Xishan,33.6,27.6667,113.5,64,100,1.6,CN,1657879249
Dawei,27.7,14.0833,98.2,80,73,1.88,MM,1657879252
Lucapa,29.57,-8.4192,20.7447,21,40,3.33,AO,1657879254
Preeceville,12.6,51.95,-102.6677,76,7,0.97,CA,1657879256
Tuatapere,4.42,-46.1333,167.6833,86,97,1.92,NZ,1657879258
Poggiomarino,30.86,40.8031,14.539,36,0,2.68,IT,1657879260
Pombia,32.34,45.653,8.6336,43,0,1.54,IT,1657879248
Lodja,36.12,-3.4833,23.4333,25,48,1.59,CD,1657879265
East London,18.31,-33.0153,27.9116,51,0,1.69,ZA,1657879202
Wuwei,18.26,37.9281,102.6414,71,100,2.23,CN,1657879271
Akhmīm,35.29,26.5622,31.745,14,0,9.4,EG,1657879273
Khovd,20.7,48.0056,91.6419,25,1,3.97,MN,1657879275
Māchalpur,31.62,24.1333,76.3,59,88,2.31,IN,1657879277
Ixtapa,24.57,20.7,-105.2,89,100,0.6,MX,1657879280
Puerto Colombia,25.34,10.9878,-74.9547,87,8,4.96,CO,1657879282
Buraidah,41.25,26.326,43.975,9,15,3.71,SA,1657879078
San Felipe,20.05,10.3399,-68.7425,97,68,0.32,VE,1657879286
Peace River,14.25,56.2501,-117.286,81,92,2.7,CA,1657879292
Chimbote,16.28,-9.0853,-78.5783,83,98,3.75,PE,1657879294
Xam Nua,25.29,20.4197,104.0439,94,95,1.1,LA,1657879296
Namatanai,26.8,-3.6667,152.4333,78,99,3.9,PG,1657879299
Warrnambool,11.01,-38.3833,142.4833,68,100,4.74,AU,1657879301
Ukholovo,23.26,53.7929,40.4892,50,1,5.83,RU,1657879307
Vuktyl,30.87,63.8567,57.3094,38,96,4.13,RU,1657879309
High Rock,28.06,26.6208,-78.2833,71,10,6.63,BS,1657879311
Aswān,35.61,24.0934,32.907,20,0,4.63,EG,1657879041
Barra Patuca,25.5,15.8,-84.2833,86,100,2.87,HN,1657879316
Carutapera,24.06,-1.195,-46.02,91,16,3.46,BR,1657879318
Departamento de Maldonado,14.01,-34.6667,-54.9167,98,100,0.88,UY,1657879320
Krasnosel'kup,17.75,65.7,82.4667,48,100,3.77,RU,1657879322
Parli,25.85,18.8486,76.5297,76,100,8.77,IN,1657879324
Ossora,14.63,59.2353,163.0719,86,100,4.27,RU,1657879326
Camopi,21.39,3.1655,-52.3158,100,50,0.67,GF,1657879328
Murgab,41.53,37.4966,61.9714,6,0,7.69,TM,1657879333
Virginia Beach,24.54,36.8529,-75.978,93,100,3.55,US,1657879185
Walla Walla,20.01,46.0646,-118.343,50,0,5.14,US,1657879337
Kumluca,30.65,36.3703,30.2869,52,0,4.73,TR,1657879238
Otane,9.45,-39.8833,176.6333,92,91,1.46,NZ,1657879341
Wawina,23.76,15.4167,-84.4333,94,100,0.3,HN,1657879343
Kaka,40.23,37.3482,59.6143,8,0,6.47,TM,1657879345
Awjilah,30.75,29.1081,21.2869,25,0,3.68,LY,1657879348
La Tuque,10.39,47.4334,-72.7824,89,6,0.99,CA,1657879350
Kachug,19.61,53.9606,105.8817,62,91,1.95,RU,1657879352
Charters Towers,13.04,-20.1,146.2667,64,5,3.16,AU,1657879354
Cravo Norte,22.26,6.3017,-70.2041,91,10,1.96,CO,1657879356
Nālūt,31.77,30.3333,10.85,17,0,2.44,LY,1657879359
Taoudenni,41.28,22.6783,-3.9836,9,9,11.1,ML,1657879070
Severo-Yeniseyskiy,13.12,60.3725,93.0408,67,73,2.08,RU,1657879363
Horta,22.8,38.5333,-28.6333,64,20,3.09,PT,1657879365
Tiarei,22.01,-17.5333,-149.3333,60,71,8.92,PF,1657879076
Celestún,24.33,20.8667,-90.4,86,9,4.7,MX,1657879369
Saldanha,15.98,-33.0117,17.9442,68,44,4.18,ZA,1657879371
Sun City West,31.52,33.662,-112.3413,47,75,0.45,US,1657879373
Port Moresby,23.25,-9.4431,147.1797,75,96,8.05,PG,1657879375
Hinton,11.65,53.4001,-117.5857,82,54,1.07,CA,1657879377
Tual,26.42,-5.6667,132.75,82,63,10.06,ID,1657879380
Palm Coast,22.56,29.585,-81.2078,93,0,0.0,US,1657879222
Muravlenko,21.7,63.7898,74.523,38,92,2.17,RU,1657879386
Colesberg,14.32,-30.72,25.0972,35,0,3.13,ZA,1657879388
Oudtshoorn,17.67,-33.5907,22.2014,49,7,0.8,ZA,1657879213
San José del Palmar,16.12,4.9742,-76.2283,97,61,0.88,CO,1657879392
Mikumi,27.36,-7.4041,36.9831,47,86,3.46,TZ,1657879394
Bartica,24.18,6.4,-58.6167,100,98,0.47,GY,1657879396
Port Blair,27.14,11.6667,92.75,83,100,7.51,IN,1657879398
Tubualá,26.0,9.5167,-79.0333,87,93,1.15,PA,1657879400
Darlington,16.22,54.5243,-1.5504,82,75,4.12,GB,1657878966
São José da Coroa Grande,24.05,-8.8978,-35.1478,81,42,3.53,BR,1657879405
Kolpashevo,19.91,58.3131,82.9089,54,48,2.22,RU,1657879407
Sol'tsy,18.75,58.1239,30.3238,60,100,3.16,RU,1657879409
Pato Branco,15.4,-26.2286,-52.6706,66,93,3.62,BR,1657879255
Bac Lieu,28.46,9.285,105.7244,77,93,5.45,VN,1657879413
Nome,13.42,64.5011,-165.4064,76,100,4.94,US,1657879289
College,11.33,64.8569,-147.8028,67,75,2.06,US,1657879417
Shenjiamen,27.23,29.9576,122.298,87,100,3.27,CN,1657879420
Saint-Augustin,14.54,51.226,-58.6502,71,98,1.77,CA,1657879422
Kita,26.92,13.0349,-9.4895,71,100,3.8,ML,1657879271
Kasongo,34.56,-4.45,26.6667,21,90,2.78,CD,1657879426
Salinas,13.55,36.6777,-121.6555,82,100,4.63,US,1657879428
Orocué,21.89,4.7912,-71.3354,96,14,1.93,CO,1657879430
Oranjemund,22.97,-28.55,16.4333,24,56,4.79,NA,1657879432
San Vicente,18.58,-26.6167,-54.1333,51,67,3.5,AR,1657879290
Ampanihy,26.21,-24.7,44.75,29,0,3.52,MG,1657879436
Coyhaique,-0.03,-45.5752,-72.0662,74,100,2.57,CL,1657879439
Morondava,24.14,-20.2833,44.2833,49,0,5.09,MG,1657879441
Walvis Bay,28.42,-22.9575,14.5053,20,0,5.44,NA,1657879443
Taksimo,19.73,56.3444,114.8794,80,100,2.76,RU,1657879445
Xixiang,31.89,35.1628,112.865,69,68,3.09,CN,1657879357
Pestovo,19.58,58.5938,35.8024,67,82,3.85,RU,1657879449
Mbaïki,29.11,3.8678,17.9892,64,42,0.49,CF,1657879451
Tezu,36.8,27.9167,96.1667,49,2,1.02,IN,1657879456
Tokur,20.28,53.1333,132.9,81,41,1.93,RU,1657879458
Sibu,29.47,2.3,111.8167,66,46,2.14,MY,1657879460
Kalamb,22.26,19.05,73.95,93,100,8.66,IN,1657879462
Harper,24.24,4.375,-7.7169,85,100,4.61,LR,1657879464
Hay River,8.66,60.8156,-115.7999,95,19,1.64,CA,1657879466
Rio Brilhante,19.75,-21.8019,-54.5464,45,100,3.05,BR,1657879468
Kaeo,9.62,-35.1,173.7833,91,100,2.56,NZ,1657879471
Laje,17.48,-10.1833,-40.9667,81,53,4.91,BR,1657879475
Vanimo,26.06,-2.6741,141.3028,85,56,2.19,PG,1657879477
Northam,19.03,51.0333,-4.2167,66,24,3.91,GB,1657879427
Edson,11.37,53.5835,-116.4356,90,91,0.18,CA,1657879331
Bourail,19.17,-21.5667,165.4833,70,78,3.71,NC,1657879483
Ballina,11.12,-28.8667,153.5667,94,22,3.16,AU,1657879485
Colgong,35.97,25.2667,87.2167,46,99,4.91,IN,1657879488
